All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Denmark,2011,187
Grand Total N,Denmark,2012,194
Grand Total N,Denmark,2013,187
Grand Total N,Denmark,2014,203.7
Grand Total N,Denmark,2015,214
Grand Total N,Denmark,2016,226.2
Grand Total N,Denmark,2017,198.7
Grand Total N,Denmark,2018,220
Grand Total N,Denmark,2019,230.1
Grand Total N,Cuba,1986,328.4
Grand Total N,Cuba,1987,306.4
Grand Total N,Cuba,1988,304.7
Grand Total N,Cuba,1989,366.7
Grand Total N,Cuba,1990,283
Grand Total N,Cuba,1991,240
Grand Total N,Cuba,1992,192
Grand Total N,Cuba,1993,120
Grand Total N,Cuba,1994,72
Grand Total N,Cuba,1995,100
Grand Total N,Cuba,1996,100
Grand Total N,Cuba,1997,133
Grand Total N,Cuba,1998,107
Grand Total N,Cuba,1999,72.3
Grand Total N,Cuba,2000,78
Grand Total N,Cuba,2001,54.1
Grand Total N,Cuba,2002,35.8
Grand Total N,Cuba,2003,12.7
Grand Total N,Cuba,2004,16.6
Grand Total N,Cuba,2005,45.1
Grand Total N,Cuba,2006,64.9
Grand Total N,Cuba,2007,50.8
Grand Total N,Cuba,2008,49
Grand Total N,Cuba,2009,50
Grand Total N,Cuba,2010,52
Grand Total N,Cuba,2011,62.5
Grand Total N,Cuba,2012,56.8
Grand Total N,Cuba,2013,66.2
Grand Total N,Cuba,2014,82.2
Grand Total N,Cuba,2015,65.9
Grand Total N,Cuba,2016,53.7
Grand Total N,Cuba,2017,64.2
Grand Total N,Cuba,2018,35
Grand Total N,Cuba,2019,16
Grand Total N,Mauritius,1986,9.9
Grand Total N,Mauritius,1987,12.7
Grand Total N,Mauritius,1988,10.9
Grand Total N,Mauritius,1989,11.6
Grand Total N,Mauritius,1990,11.2
Grand Total N,Mauritius,1991,11.2
Grand Total N,Mauritius,1992,11.2
Grand Total N,Mauritius,1993,9.9
Grand Total N,Mauritius,1994,11.8
Grand Total N,Mauritius,1995,12.4
Grand Total N,Mauritius,1996,13.1
Grand Total N,Mauritius,1997,11.8
Grand Total N,Mauritius,1998,12.4
Grand Total N,Mauritius,1999,13.4
Grand Total N,Mauritius,2000,16.8
Grand Total N,Mauritius,2001,11.6
Grand Total N,Mauritius,2002,10.4
Grand Total N,Mauritius,2003,8.4
Grand Total N,Mauritius,2004,13.6
Grand Total N,Mauritius,2005,14
Grand Total N,Mauritius,2006,14.4
Grand Total N,Mauritius,2007,14.4
Grand Total N,Mauritius,2008,14.2
Grand Total N,Mauritius,2009,14.5
Grand Total N,Mauritius,2010,14.5
Grand Total N,Mauritius,2011,14.9
Grand Total N,Mauritius,2012,11
Grand Total N,Mauritius,2013,10
Grand Total N,Mauritius,2014,11
Grand Total N,Mauritius,2015,11
Grand Total N,Mauritius,2016,11
Grand Total N,Mauritius,2017,11
Grand Total N,Mauritius,2018,10.9
Grand Total N,Mauritius,2019,11.4
Grand Total N,Turkmenistan,1986,0
Grand Total N,Turkmenistan,1987,0
Grand Total N,Turkmenistan,1988,0
Grand Total N,Turkmenistan,1989,0
Grand Total N,Turkmenistan,1990,135
Grand Total N,Turkmenistan,1991,149
Grand Total N,Turkmenistan,1992,100
Grand Total N,Turkmenistan,1993,119
Grand Total N,Turkmenistan,1994,102
Grand Total N,Turkmenistan,1995,105
Grand Total N,Turkmenistan,1996,110
Grand Total N,Turkmenistan,1997,159
Grand Total N,Turkmenistan,1998,57
Grand Total N,Turkmenistan,1999,72.2
Grand Total N,Turkmenistan,2000,86.6
Grand Total N,Turkmenistan,2001,98
Grand Total N,Turkmenistan,2002,97.9
Grand Total N,Turkmenistan,2003,109.9
Grand Total N,Turkmenistan,2004,124.8
Grand Total N,Turkmenistan,2005,171.7
Grand Total N,Turkmenistan,2006,239.1
Grand Total N,Turkmenistan,2007,250
Grand Total N,Turkmenistan,2008,250
Grand Total N,Turkmenistan,2009,253
Grand Total N,Turkmenistan,2010,255
Grand Total N,Turkmenistan,2011,255
Grand Total N,Turkmenistan,2012,260
Grand Total N,Turkmenistan,2013,379.9
Grand Total N,Turkmenistan,2014,400.8
Grand Total N,Turkmenistan,2015,485
Grand Total N,Turkmenistan,2016,415.8
Grand Total N,Turkmenistan,2017,393
Grand Total N,Turkmenistan,2018,415
Grand Total N,Turkmenistan,2019,429.6
Grand Total N,Bosnia and Herzegovina,1986,0
Grand Total N,Bosnia and Herzegovina,1987,0
Grand Total N,Bosnia and Herzegovina,1988,0
Grand Total N,Bosnia and Herzegovina,1989,0
Grand Total N,Bosnia and Herzegovina,1990,0
Grand Total N,Bosnia and Herzegovina,1991,0
Grand Total N,Bosnia and Herzegovina,1992,0
Grand Total N,Bosnia and Herzegovina,1993,0
Grand Total N,Bosnia and Herzegovina,1994,0
Grand Total N,Bosnia and Herzegovina,1995,5
Grand Total N,Bosnia and Herzegovina,1996,3
Grand Total N,Bosnia and Herzegovina,1997,3
Grand Total N,Bosnia and Herzegovina,1998,23
Grand Total N,Bosnia and Herzegovina,1999,28
Grand Total N,Bosnia and Herzegovina,2000,27.8
Grand Total N,Bosnia and Herzegovina,2001,18.3
Grand Total N,Bosnia and Herzegovina,2002,19.4
Grand Total N,Bosnia and Herzegovina,2003,18.1
Grand Total N,Bosnia and Herzegovina,2004,18.2
Grand Total N,Bosnia and Herzegovina,2005,26.4
Grand Total N,Bosnia and Herzegovina,2006,17.3
Grand Total N,Bosnia and Herzegovina,2007,21.9
Grand Total N,Bosnia and Herzegovina,2008,11.5
Grand Total N,Bosnia and Herzegovina,2009,13.9
Grand Total N,Bosnia and Herzegovina,2010,13.9
Grand Total N,Bosnia and Herzegovina,2011,16.9
Grand Total N,Bosnia and Herzegovina,2012,20.5
Grand Total N,Bosnia and Herzegovina,2013,25.3
Grand Total N,Bosnia and Herzegovina,2014,30.3
Grand Total N,Bosnia and Herzegovina,2015,28.4
Grand Total N,Bosnia and Herzegovina,2016,31.8
Grand Total N,Bosnia and Herzegovina,2017,35.3
Grand Total N,Bosnia and Herzegovina,2018,32.4
Grand Total N,Bosnia and Herzegovina,2019,29.4
Grand Total N,Czechoslovakia (former),1986,646.3
Grand Total N,Czechoslovakia (former),1987,587.7
Grand Total N,Czechoslovakia (former),1988,644.4
Grand Total N,Czechoslovakia (former),1989,669.9
Grand Total N,Czechoslovakia (former),1990,588.3
Grand Total N,Czechoslovakia (former),1991,287.8
Grand Total N,Czechoslovakia (former),1992,280
Grand Total N,Czechoslovakia (former),1993,237.6
Grand Total N,Czechoslovakia (former),1994,0
Grand Total N,Czechoslovakia (former),1995,0
Grand Total N,Czechoslovakia (former),1996,0
Grand Total N,Czechoslovakia (former),1997,0
Grand Total N,Czechoslovakia (former),1998,0
Grand Total N,Czechoslovakia (former),1999,0
Grand Total N,Czechoslovakia (former),2000,0
Grand Total N,Czechoslovakia (former),2001,0
Grand Total N,Czechoslovakia (former),2002,0
Grand Total N,Czechoslovakia (former),2003,0
Grand Total N,Czechoslovakia (former),2004,0
Grand Total N,Czechoslovakia (former),2005,0
Grand Total N,Czechoslovakia (former),2006,0
Grand Total N,Czechoslovakia (former),2007,0
Grand Total N,Czechoslovakia (former),2008,0
Grand Total N,Czechoslovakia (former),2009,0
Grand Total N,Czechoslovakia (former),2010,0
Grand Total N,Czechoslovakia (former),2011,0
Grand Total N,Czechoslovakia (former),2012,0
Grand Total N,Czechoslovakia (former),2013,0
Grand Total N,Czechoslovakia (former),2014,0
Grand Total N,Czechoslovakia (former),2015,0
Grand Total N,Czechoslovakia (former),2016,0
Grand Total N,Czechoslovakia (former),2017,0
Grand Total N,Czechoslovakia (former),2018,0
Grand Total N,Czechoslovakia (former),2019,0
Grand Total N,Ukraine,1986,0
Grand Total N,Ukraine,1987,0
Grand Total N,Ukraine,1988,0
Grand Total N,Ukraine,1989,0
Grand Total N,Ukraine,1990,1836
Grand Total N,Ukraine,1991,1662
Grand Total N,Ukraine,1992,1338
Grand Total N,Ukraine,1993,841
Grand Total N,Ukraine,1994,774
Grand Total N,Ukraine,1995,625
Grand Total N,Ukraine,1996,373
Grand Total N,Ukraine,1997,413
Grand Total N,Ukraine,1998,406
Grand Total N,Ukraine,1999,327
Grand Total N,Ukraine,2000,350
Grand Total N,Ukraine,2001,380
Grand Total N,Ukraine,2002,450
Grand Total N,Ukraine,2003,430
Grand Total N,Ukraine,2004,470
Grand Total N,Ukraine,2005,500
Grand Total N,Ukraine,2006,550
Grand Total N,Ukraine,2007,600
Grand Total N,Ukraine,2008,800
Grand Total N,Ukraine,2009,700
Grand Total N,Ukraine,2010,650
Grand Total N,Ukraine,2011,1159.1
Grand Total N,Ukraine,2012,1254.1
Grand Total N,Ukraine,2013,1098.7
Grand Total N,Ukraine,2014,1237.8
Grand Total N,Ukraine,2015,1103
Grand Total N,Ukraine,2016,1429.8
Grand Total N,Ukraine,2017,1592.4
Grand Total N,Ukraine,2018,1479.7
Grand Total N,Ukraine,2019,1740.3
Grand Total N,Portugal,1986,149.8
Grand Total N,Portugal,1987,149.5
Grand Total N,Portugal,1988,156.5
Grand Total N,Portugal,1989,145.4
Grand Total N,Portugal,1990,150.2
Grand Total N,Portugal,1991,141
Grand Total N,Portugal,1992,127
Grand Total N,Portugal,1993,129
Grand Total N,Portugal,1994,128
Grand Total N,Portugal,1995,125
Grand Total N,Portugal,1996,132
Grand Total N,Portugal,1997,121
Grand Total N,Portugal,1998,131
Grand Total N,Portugal,1999,120
Grand Total N,Portugal,2000,113
Grand Total N,Portugal,2001,103
Grand Total N,Portugal,2002,96
Grand Total N,Portugal,2003,95
Grand Total N,Portugal,2004,88
Grand Total N,Portugal,2005,83
Grand Total N,Portugal,2006,80
Grand Total N,Portugal,2007,78
Grand Total N,Portugal,2008,71.2
Grand Total N,Portugal,2009,68
Grand Total N,Portugal,2010,72.8
Grand Total N,Portugal,2011,72
Grand Total N,Portugal,2012,76
Grand Total N,Portugal,2013,79
Grand Total N,Portugal,2014,72
Grand Total N,Portugal,2015,75
Grand Total N,Portugal,2016,72
Grand Total N,Portugal,2017,69.1
Grand Total N,Portugal,2018,70.8
Grand Total N,Portugal,2019,76
Grand Total N,Malaysia,1986,198.9
Grand Total N,Malaysia,1987,208.6
Grand Total N,Malaysia,1988,237.1
Grand Total N,Malaysia,1989,273.1
Grand Total N,Malaysia,1990,262.1
Grand Total N,Malaysia,1991,254.7
Grand Total N,Malaysia,1992,294.9
Grand Total N,Malaysia,1993,301
Grand Total N,Malaysia,1994,287
Grand Total N,Malaysia,1995,286
Grand Total N,Malaysia,1996,255
Grand Total N,Malaysia,1997,344
Grand Total N,Malaysia,1998,417
Grand Total N,Malaysia,1999,362.4
Grand Total N,Malaysia,2000,359.3
Grand Total N,Malaysia,2001,339
Grand Total N,Malaysia,2002,363.2
Grand Total N,Malaysia,2003,385
Grand Total N,Malaysia,2004,549.5
Grand Total N,Malaysia,2005,499.2
Grand Total N,Malaysia,2006,542
Grand Total N,Malaysia,2007,567.8
Grand Total N,Malaysia,2008,531.7
Grand Total N,Malaysia,2009,602
Grand Total N,Malaysia,2010,542
Grand Total N,Malaysia,2011,560
Grand Total N,Malaysia,2012,500
Grand Total N,Malaysia,2013,549.2
Grand Total N,Malaysia,2014,518.4
Grand Total N,Malaysia,2015,506.2
Grand Total N,Malaysia,2016,555.7
Grand Total N,Malaysia,2017,546.4
Grand Total N,Malaysia,2018,497
Grand Total N,Malaysia,2019,477.4
Grand Total N,Korea Republic,1986,435.4
Grand Total N,Korea Republic,1987,448.9
Grand Total N,Korea Republic,1988,460.1
Grand Total N,Korea Republic,1989,505.7
Grand Total N,Korea Republic,1990,505.4
Grand Total N,Korea Republic,1991,473.5
Grand Total N,Korea Republic,1992,486.6
Grand Total N,Korea Republic,1993,477.3
Grand Total N,Korea Republic,1994,475
Grand Total N,Korea Republic,1995,478
Grand Total N,Korea Republic,1996,456
Grand Total N,Korea Republic,1997,507
Grand Total N,Korea Republic,1998,451
Grand Total N,Korea Republic,1999,428.3
Grand Total N,Korea Republic,2000,411.5
Grand Total N,Korea Republic,2001,375
Grand Total N,Korea Republic,2002,340.7
Grand Total N,Korea Republic,2003,365.3
Grand Total N,Korea Republic,2004,386.7
Grand Total N,Korea Republic,2005,354
Grand Total N,Korea Republic,2006,267.7
Grand Total N,Korea Republic,2007,325.5
Grand Total N,Korea Republic,2008,301.7
Grand Total N,Korea Republic,2009,290
Grand Total N,Korea Republic,2010,280
Grand Total N,Korea Republic,2011,271
Grand Total N,Korea Republic,2012,270
Grand Total N,Korea Republic,2013,337.2
Grand Total N,Korea Republic,2014,300.1
Grand Total N,Korea Republic,2015,331.2
Grand Total N,Korea Republic,2016,341.8
Grand Total N,Korea Republic,2017,323.3
Grand Total N,Korea Republic,2018,306.6
Grand Total N,Korea Republic,2019,303.9
Grand Total N,Armenia,1986,0
Grand Total N,Armenia,1987,0
Grand Total N,Armenia,1988,0
Grand Total N,Armenia,1989,0
Grand Total N,Armenia,1990,26
Grand Total N,Armenia,1991,24
Grand Total N,Armenia,1992,15
Grand Total N,Armenia,1993,15
Grand Total N,Armenia,1994,7
Grand Total N,Armenia,1995,7
Grand Total N,Armenia,1996,8
Grand Total N,Armenia,1997,8
Grand Total N,Armenia,1998,9.6
Grand Total N,Armenia,1999,6.1
Grand Total N,Armenia,2000,7
Grand Total N,Armenia,2001,5
Grand Total N,Armenia,2002,4.4
Grand Total N,Armenia,2003,1.5
Grand Total N,Armenia,2004,15.9
Grand Total N,Armenia,2005,14.2
Grand Total N,Armenia,2006,0
Grand Total N,Armenia,2007,14.4
Grand Total N,Armenia,2008,7.2
Grand Total N,Armenia,2009,8.9
Grand Total N,Armenia,2010,7
Grand Total N,Armenia,2011,7
Grand Total N,Armenia,2012,6.8
Grand Total N,Armenia,2013,7
Grand Total N,Armenia,2014,7.6
Grand Total N,Armenia,2015,7.5
Grand Total N,Armenia,2016,7.5
Grand Total N,Armenia,2017,12.1
Grand Total N,Armenia,2018,13.4
Grand Total N,Armenia,2019,18.3
Grand Total N,Uruguay,1986,12.8
Grand Total N,Uruguay,1987,15.5
Grand Total N,Uruguay,1988,30.9
Grand Total N,Uruguay,1989,24.4
Grand Total N,Uruguay,1990,27.6
Grand Total N,Uruguay,1991,28.6
Grand Total N,Uruguay,1992,31.9
Grand Total N,Uruguay,1993,34
Grand Total N,Uruguay,1994,25
Grand Total N,Uruguay,1995,21
Grand Total N,Uruguay,1996,47
Grand Total N,Uruguay,1997,47
Grand Total N,Uruguay,1998,53.5
Grand Total N,Uruguay,1999,43
Grand Total N,Uruguay,2000,36.2
Grand Total N,Uruguay,2001,41.5
Grand Total N,Uruguay,2002,39.8
Grand Total N,Uruguay,2003,58.1
Grand Total N,Uruguay,2004,56.3
Grand Total N,Uruguay,2005,57.2
Grand Total N,Uruguay,2006,58.2
Grand Total N,Uruguay,2007,66.2
Grand Total N,Uruguay,2008,57
Grand Total N,Uruguay,2009,60.7
Grand Total N,Uruguay,2010,63
Grand Total N,Uruguay,2011,69.1
Grand Total N,Uruguay,2012,156.2
Grand Total N,Uruguay,2013,156.5
Grand Total N,Uruguay,2014,107.7
Grand Total N,Uruguay,2015,124.7
Grand Total N,Uruguay,2016,118.8
Grand Total N,Uruguay,2017,104.1
Grand Total N,Uruguay,2018,114.1
Grand Total N,Uruguay,2019,152.8
Grand Total N,El Salvador,1986,49.2
Grand Total N,El Salvador,1987,64.6
Grand Total N,El Salvador,1988,67.7
Grand Total N,El Salvador,1989,56.3
Grand Total N,El Salvador,1990,52.7
Grand Total N,El Salvador,1991,55.3
Grand Total N,El Salvador,1992,53.6
Grand Total N,El Salvador,1993,53
Grand Total N,El Salvador,1994,46
Grand Total N,El Salvador,1995,41
Grand Total N,El Salvador,1996,60
Grand Total N,El Salvador,1997,72.1
Grand Total N,El Salvador,1998,57
Grand Total N,El Salvador,1999,56.8
Grand Total N,El Salvador,2000,51
Grand Total N,El Salvador,2001,48.2
Grand Total N,El Salvador,2002,37.9
Grand Total N,El Salvador,2003,31.7
Grand Total N,El Salvador,2004,43.2
Grand Total N,El Salvador,2005,45.2
Grand Total N,El Salvador,2006,39
Grand Total N,El Salvador,2007,34.6
Grand Total N,El Salvador,2008,46.6
Grand Total N,El Salvador,2009,45.4
Grand Total N,El Salvador,2010,46.9
Grand Total N,El Salvador,2011,38.9
Grand Total N,El Salvador,2012,50
Grand Total N,El Salvador,2013,45.5
Grand Total N,El Salvador,2014,43.6
Grand Total N,El Salvador,2015,52.6
Grand Total N,El Salvador,2016,51
Grand Total N,El Salvador,2017,63.5
Grand Total N,El Salvador,2018,38.1
Grand Total N,El Salvador,2019,53.8
Grand Total N,Thailand,1986,345.9
Grand Total N,Thailand,1987,376.7
Grand Total N,Thailand,1988,439.7
Grand Total N,Thailand,1989,498
Grand Total N,Thailand,1990,576.5
Grand Total N,Thailand,1991,525.8
Grand Total N,Thailand,1992,600.2
Grand Total N,Thailand,1993,769
Grand Total N,Thailand,1994,740
Grand Total N,Thailand,1995,728
Grand Total N,Thailand,1996,811
Grand Total N,Thailand,1997,784
Grand Total N,Thailand,1998,905
Grand Total N,Thailand,1999,1070
Grand Total N,Thailand,2000,922
Grand Total N,Thailand,2001,993.5
Grand Total N,Thailand,2002,1045.4
Grand Total N,Thailand,2003,1095.9
Grand Total N,Thailand,2004,1050.1
Grand Total N,Thailand,2005,1055.3
Grand Total N,Thailand,2006,949.5
Grand Total N,Thailand,2007,1036.6
Grand Total N,Thailand,2008,932.4
Grand Total N,Thailand,2009,1227.8
Grand Total N,Thailand,2010,1310.8
Grand Total N,Thailand,2011,1386.4
Grand Total N,Thailand,2012,1382.3
Grand Total N,Thailand,2013,1419
Grand Total N,Thailand,2014,1409
Grand Total N,Thailand,2015,1240.1
Grand Total N,Thailand,2016,1225
Grand Total N,Thailand,2017,1178
Grand Total N,Thailand,2018,1206
Grand Total N,Thailand,2019,1353.4
Grand Total N,Slovak Republic,1986,0
Grand Total N,Slovak Republic,1987,0
Grand Total N,Slovak Republic,1988,0
Grand Total N,Slovak Republic,1989,0
Grand Total N,Slovak Republic,1990,0
Grand Total N,Slovak Republic,1991,0
Grand Total N,Slovak Republic,1992,0
Grand Total N,Slovak Republic,1993,0
Grand Total N,Slovak Republic,1994,68.7
Grand Total N,Slovak Republic,1995,72
Grand Total N,Slovak Republic,1996,77.6
Grand Total N,Slovak Republic,1997,72.5
Grand Total N,Slovak Republic,1998,82.8
Grand Total N,Slovak Republic,1999,65.4
Grand Total N,Slovak Republic,2000,82.1
Grand Total N,Slovak Republic,2001,85
Grand Total N,Slovak Republic,2002,81
Grand Total N,Slovak Republic,2003,93
Grand Total N,Slovak Republic,2004,90
Grand Total N,Slovak Republic,2005,90
Grand Total N,Slovak Republic,2006,100
Grand Total N,Slovak Republic,2007,105
Grand Total N,Slovak Republic,2008,94
Grand Total N,Slovak Republic,2009,83
Grand Total N,Slovak Republic,2010,96
Grand Total N,Slovak Republic,2011,113
Grand Total N,Slovak Republic,2012,112
Grand Total N,Slovak Republic,2013,118
Grand Total N,Slovak Republic,2014,121
Grand Total N,Slovak Republic,2015,133.3
Grand Total N,Slovak Republic,2016,140.9
Grand Total N,Slovak Republic,2017,125.9
Grand Total N,Slovak Republic,2018,155.4
Grand Total N,Slovak Republic,2019,138.2
Grand Total N,Tajikistan,1986,0
Grand Total N,Tajikistan,1987,0
Grand Total N,Tajikistan,1988,0
Grand Total N,Tajikistan,1989,0
Grand Total N,Tajikistan,1990,14
Grand Total N,Tajikistan,1991,89
Grand Total N,Tajikistan,1992,64
Grand Total N,Tajikistan,1993,46
Grand Total N,Tajikistan,1994,40
Grand Total N,Tajikistan,1995,40
Grand Total N,Tajikistan,1996,32.1
Grand Total N,Tajikistan,1997,41.2
Grand Total N,Tajikistan,1998,28.3
Grand Total N,Tajikistan,1999,10.6
Grand Total N,Tajikistan,2000,16
Grand Total N,Tajikistan,2001,11.5
Grand Total N,Tajikistan,2002,26
Grand Total N,Tajikistan,2003,23.5
Grand Total N,Tajikistan,2004,21
Grand Total N,Tajikistan,2005,20.4
Grand Total N,Tajikistan,2006,16.1
Grand Total N,Tajikistan,2007,12.9
Grand Total N,Tajikistan,2008,12.3
Grand Total N,Tajikistan,2009,11
Grand Total N,Tajikistan,2010,11
Grand Total N,Tajikistan,2011,11
Grand Total N,Tajikistan,2012,4.8
Grand Total N,Tajikistan,2013,3.9
Grand Total N,Tajikistan,2014,9.6
Grand Total N,Tajikistan,2015,10.7
Grand Total N,Tajikistan,2016,4
Grand Total N,Tajikistan,2017,50.7
Grand Total N,Tajikistan,2018,49.5
Grand Total N,Tajikistan,2019,34.2
Grand Total N,Hungary,1986,593.4
Grand Total N,Hungary,1987,613.8
Grand Total N,Hungary,1988,646.3
Grand Total N,Hungary,1989,572.8
Grand Total N,Hungary,1990,358.6
Grand Total N,Hungary,1991,264.5
Grand Total N,Hungary,1992,148
Grand Total N,Hungary,1993,225.3
Grand Total N,Hungary,1994,243
Grand Total N,Hungary,1995,246.5
Grand Total N,Hungary,1996,318.4
Grand Total N,Hungary,1997,285.8
Grand Total N,Hungary,1998,282
Grand Total N,Hungary,1999,320.6
Grand Total N,Hungary,2000,320
Grand Total N,Hungary,2001,336
Grand Total N,Hungary,2002,330
Grand Total N,Hungary,2003,333
Grand Total N,Hungary,2004,354.4
Grand Total N,Hungary,2005,325.7
Grand Total N,Hungary,2006,341
Grand Total N,Hungary,2007,318.5
Grand Total N,Hungary,2008,232
Grand Total N,Hungary,2009,253
Grand Total N,Hungary,2010,258.7
Grand Total N,Hungary,2011,292
Grand Total N,Hungary,2012,323
Grand Total N,Hungary,2013,329
Grand Total N,Hungary,2014,343
Grand Total N,Hungary,2015,339
Grand Total N,Hungary,2016,352
Grand Total N,Hungary,2017,392
Grand Total N,Hungary,2018,412
Grand Total N,Hungary,2019,409.1
Grand Total N,Sweden,1986,240.8
Grand Total N,Sweden,1987,241.2
Grand Total N,Sweden,1988,222.5
Grand Total N,Sweden,1989,234.3
Grand Total N,Sweden,1990,211.5
Grand Total N,Sweden,1991,185
Grand Total N,Sweden,1992,205
Grand Total N,Sweden,1993,221
Grand Total N,Sweden,1994,216
Grand Total N,Sweden,1995,196
Grand Total N,Sweden,1996,209
Grand Total N,Sweden,1997,208
Grand Total N,Sweden,1998,196
Grand Total N,Sweden,1999,197
Grand Total N,Sweden,2000,191
Grand Total N,Sweden,2001,187
Grand Total N,Sweden,2002,182
Grand Total N,Sweden,2003,177
Grand Total N,Sweden,2004,164
Grand Total N,Sweden,2005,170
Grand Total N,Sweden,2006,175
Grand Total N,Sweden,2007,197
Grand Total N,Sweden,2008,158
Grand Total N,Sweden,2009,176.1
Grand Total N,Sweden,2010,177
Grand Total N,Sweden,2011,160.1
Grand Total N,Sweden,2012,162
Grand Total N,Sweden,2013,162.8
Grand Total N,Sweden,2014,179.9
Grand Total N,Sweden,2015,192.4
Grand Total N,Sweden,2016,205.5
Grand Total N,Sweden,2017,191.3
Grand Total N,Sweden,2018,182.7
Grand Total N,Sweden,2019,189.6
Grand Total N,Afghanistan,1986,50.5
Grand Total N,Afghanistan,1987,52.8
Grand Total N,Afghanistan,1988,49.8
Grand Total N,Afghanistan,1989,50
Grand Total N,Afghanistan,1990,44.1
Grand Total N,Afghanistan,1991,42.8
Grand Total N,Afghanistan,1992,38.9
Grand Total N,Afghanistan,1993,40
Grand Total N,Afghanistan,1994,0
Grand Total N,Afghanistan,1995,0
Grand Total N,Afghanistan,1996,5
Grand Total N,Afghanistan,1997,5
Grand Total N,Afghanistan,1998,5.5
Grand Total N,Afghanistan,1999,5
Grand Total N,Afghanistan,2000,5
Grand Total N,Afghanistan,2001,23.2
Grand Total N,Afghanistan,2002,20.8
